"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","handling error codes","checking custom error code: 106 - no_rates_available","0","0","1","0","0"
"","handling error codes","checking 404 response code - Not Found: The requested resource doesn't exist.","0","0","1","0","0"
"","handling error codes","checking custom error code: 505 - time_frame_too_long","0","0","1","0","0"
"","handling error codes","checking custom error code: 502 - invalid_start_date","0","0","1","0","0"
"","rates can be fetched with valid data","fetching rates for empty (default) currency and empty (default) symbols","0","0","1","0","0"
"","handling error codes","checking 403 response code - Forbidden: You cannot consume this service","0","0","1","0","0"
"","handling error codes","checking custom error code: 503 - invalid_end_date","0","0","1","0","0"
"","handling error codes","checking 429 response code - Too many requests: API request limit exceeded","0","0","1","0","0"
"","rates can be fetched with valid data","fetching rates for specified currency and symbols","0","0","1","0","0"
"","handling error codes","checking custom error code: 202 - invalid_currency_codes","0","0","1","0","0"
"","handling error codes","checking 400 response code: Bad Request","0","0","1","0","0"
"","rates can be fetched with valid data","fetching rates for specified currency but empty (default) symbols","0","0","1","0","0"
"","handling error codes","checking custom error code: 201 - invalid_base_currency","0","0","1","0","0"
"","handling error codes","checking custom error code: 504 - invalid_time_frame","0","0","1","0","0"
"","handling error codes","checking 401 response code - Unauthorized: No valid API key provided.","0","0","1","0","0"
"","rates can be fetched with valid data","fetching rates for specified currency and specified the same symbol","0","0","1","0","0"
