"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 13 19:07:01 UTC 2024","Wed Mar 13 19:07:02 UTC 2024","420","","handling error codes","","checking custom error code: 505 - time_frame_too_long","","checking custom error code: 505 - time_frame_too_long",""
"passed","Wed Mar 13 19:06:59 UTC 2024","Wed Mar 13 19:06:59 UTC 2024","492","","handling error codes","","checking custom error code: 106 - no_rates_available","","checking custom error code: 106 - no_rates_available",""
"passed","Wed Mar 13 19:07:00 UTC 2024","Wed Mar 13 19:07:01 UTC 2024","446","","handling error codes","","checking custom error code: 503 - invalid_end_date","","checking custom error code: 503 - invalid_end_date",""
"passed","Wed Mar 13 19:06:58 UTC 2024","Wed Mar 13 19:06:58 UTC 2024","116","","handling error codes","","checking 403 response code - Forbidden: You cannot consume this service","","checking 403 response code - Forbidden: You cannot consume this service",""
"passed","Wed Mar 13 19:06:56 UTC 2024","Wed Mar 13 19:06:57 UTC 2024","481","","rates can be fetched with valid data","","fetching rates for specified currency but empty (default) symbols","","fetching rates for specified currency but empty (default) symbols",""
"passed","Wed Mar 13 19:06:58 UTC 2024","Wed Mar 13 19:06:58 UTC 2024","155","","handling error codes","","checking 401 response code - Unauthorized: No valid API key provided.","","checking 401 response code - Unauthorized: No valid API key provided.",""
"passed","Wed Mar 13 19:06:58 UTC 2024","Wed Mar 13 19:06:59 UTC 2024","118","","handling error codes","","checking 429 response code - Too many requests: API request limit exceeded","","checking 429 response code - Too many requests: API request limit exceeded",""
"passed","Wed Mar 13 19:06:57 UTC 2024","Wed Mar 13 19:06:58 UTC 2024","453","","rates can be fetched with valid data","","fetching rates for specified currency and specified the same symbol","","fetching rates for specified currency and specified the same symbol",""
"passed","Wed Mar 13 19:06:59 UTC 2024","Wed Mar 13 19:07:00 UTC 2024","501","","handling error codes","","checking custom error code: 202 - invalid_currency_codes","","checking custom error code: 202 - invalid_currency_codes",""
"passed","Wed Mar 13 19:06:55 UTC 2024","Wed Mar 13 19:06:56 UTC 2024","1197","","rates can be fetched with valid data","","fetching rates for specified currency and symbols","","fetching rates for specified currency and symbols",""
"passed","Wed Mar 13 19:06:58 UTC 2024","Wed Mar 13 19:06:58 UTC 2024","331","","handling error codes","","checking 404 response code - Not Found: The requested resource doesn't exist.","","checking 404 response code - Not Found: The requested resource doesn't exist.",""
"passed","Wed Mar 13 19:07:00 UTC 2024","Wed Mar 13 19:07:00 UTC 2024","418","","handling error codes","","checking custom error code: 502 - invalid_start_date","","checking custom error code: 502 - invalid_start_date",""
"passed","Wed Mar 13 19:07:01 UTC 2024","Wed Mar 13 19:07:01 UTC 2024","435","","handling error codes","","checking custom error code: 504 - invalid_time_frame","","checking custom error code: 504 - invalid_time_frame",""
"passed","Wed Mar 13 19:06:59 UTC 2024","Wed Mar 13 19:06:59 UTC 2024","441","","handling error codes","","checking custom error code: 201 - invalid_base_currency","","checking custom error code: 201 - invalid_base_currency",""
"passed","Wed Mar 13 19:06:58 UTC 2024","Wed Mar 13 19:06:58 UTC 2024","18","","handling error codes","","checking 400 response code: Bad Request","","checking 400 response code: Bad Request",""
"passed","Wed Mar 13 19:06:57 UTC 2024","Wed Mar 13 19:06:57 UTC 2024","517","","rates can be fetched with valid data","","fetching rates for empty (default) currency and empty (default) symbols","","fetching rates for empty (default) currency and empty (default) symbols",""
